params,mean_test_3.0_precision,std_test_3.0_precision,rank_test_3.0_precision,mean_test_3.0_recall,std_test_3.0_recall,rank_test_3.0_recall,mean_test_3.0_f1-score,std_test_3.0_f1-score,rank_test_3.0_f1-score,mean_test_4.0_precision,std_test_4.0_precision,rank_test_4.0_precision,mean_test_4.0_recall,std_test_4.0_recall,rank_test_4.0_recall,mean_test_4.0_f1-score,std_test_4.0_f1-score,rank_test_4.0_f1-score,mean_test_5.0_precision,std_test_5.0_precision,rank_test_5.0_precision,mean_test_5.0_recall,std_test_5.0_recall,rank_test_5.0_recall,mean_test_5.0_f1-score,std_test_5.0_f1-score,rank_test_5.0_f1-score,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
{'C': 1},0.7215301924232218,0.011407493036718785,9,0.16319918144611187,0.005286493860845842,9,0.2661791669142699,0.007808631199984151,9,0.7341226979683755,0.001031585615105468,9,0.9720508390918066,0.0010488647581440858,1,0.8364970507927394,0.0010580445288048135,7,0.5953672018952356,0.02295340879178731,1,0.16549160964483545,0.0021851580319322272,9,0.25887410287081336,0.000500897129186606,9,0.7317347282309736,0.001962809056574144,8
{'C': 2},0.7225072390784338,0.009741281631625354,8,0.16439290586630287,0.0044338335607094215,8,0.26783579047489636,0.006554453427542656,8,0.7343284707872184,0.0006034194908184909,8,0.9713721618953604,0.0006169792694965537,5,0.8363791564066918,0.0006200997828735288,9,0.5779345426624436,0.0017756022650926573,4,0.16852394916911045,0.007233626588465297,8,0.26085788790030373,0.008491957300934633,8,0.7316914006981077,0.0012256995446950358,9
{'C': 3},0.7231200845117076,0.009918263570888208,7,0.16490450204638474,0.004604365620736697,4,0.26855589265561564,0.006790367732196018,6,0.7345216919190614,0.0006845802481964536,7,0.9713104639684107,0.000678677196446209,6,0.8364815886376764,0.0006955821562441568,8,0.580438842203548,0.005275443510737665,2,0.17155017921146953,0.006227598566308251,7,0.2647332867458654,0.006871651525739569,7,0.7319081925261837,0.0013557686253944934,7
{'C': 4},0.726519174041298,0.006519174041297926,3,0.16456343792633016,0.004945429740791277,7,0.2683263965255641,0.0070198638622475384,7,0.7346306097370062,0.0006882213712002816,6,0.9716806515301086,0.0001850937808489661,2,0.8366893757562424,0.00051498246857834,3,0.5791708291708292,0.0012487512487512342,3,0.17356834473769955,0.0062296350602802225,1,0.2670245062224055,0.0072435985541738634,1,0.7321683607683136,0.0010956003832646166,3
{'C': 5},0.7269117647058823,0.0069117647058823395,1,0.1649045020463847,0.005286493860845842,5,0.26880387541249995,0.007497342749183344,4,0.7346869207424847,0.0007445323766786527,4,0.971618953603159,0.00012339585389931074,3,0.8367029738073446,0.0005285805196806326,1,0.5771554834054834,0.0007665945165945542,5,0.17356834473769955,0.0062296350602802225,1,0.26682155238828964,0.007446552388289673,2,0.7322117183819106,0.0011389579968615893,1
{'C': 6},0.7269117647058823,0.0069117647058823395,1,0.1649045020463847,0.005286493860845842,5,0.26880387541249995,0.007497342749183344,4,0.7346869207424847,0.0007445323766786527,4,0.971618953603159,0.00012339585389931074,3,0.8367029738073446,0.0005285805196806326,1,0.5771554834054834,0.0007665945165945542,5,0.17356834473769955,0.0062296350602802225,1,0.26682155238828964,0.007446552388289673,2,0.7322117183819106,0.0011389579968615893,1
{'C': 7},0.7253592532903572,0.008464276121407432,6,0.16541609822646658,0.004774897680763987,3,0.2693849361914574,0.006916281970225896,3,0.7347495652881038,0.0007258690477827678,3,0.971248766041461,0.0003701875616979322,7,0.8366063800993633,0.0006078676412004103,5,0.5713433495360142,0.0028501988510826193,7,0.17356834473769955,0.0062296350602802225,1,0.2662065660196501,0.007639587826503702,4,0.732081638020937,0.0011823231306412607,5
{'C': 8},0.7255743786876452,0.008249150724119414,4,0.16558663028649384,0.004604365620736697,1,0.26962693220061884,0.00667428596106448,1,0.7347838078565045,0.0006916264793819238,1,0.971248766041461,0.0003701875616979322,7,0.8366285881142517,0.0005856596263119629,4,0.5713433495360142,0.0028501988510826193,7,0.17356834473769955,0.0062296350602802225,1,0.2662065660196501,0.007639587826503702,4,0.7321249993946253,0.0011389617569529387,4
{'C': 9},0.7255743786876452,0.008249150724119414,4,0.16558663028649384,0.004604365620736697,1,0.26962693220061884,0.00667428596106448,1,0.7347590951728662,0.0006669137957436289,2,0.9711253701875617,0.0002467917077986215,9,0.8365667641163645,0.0005238356284248957,6,0.5675021795989539,0.006691368788142971,9,0.17356834473769955,0.0062296350602802225,1,0.2658050645007166,0.008041089345437152,6,0.7320382841674313,0.0010522465297590489,6
